
2025-10-04 19:08:41,847 - scanner.code_profiler - INFO - System monitoring started
WARNING:root:License imports failed: No module named 'config'
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/dsar_automation.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='dsar_automation.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/utils/secure_auth_enhanced.py', wd=1, mask=IN_OPEN, cookie=0, name='secure_auth_enhanced.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/utils/secure_auth_enhanced.py', wd=9, mask=IN_OPEN, cookie=0, name='secure_auth_enhanced.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/utils/secure_auth_enhanced.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='secure_auth_enhanced.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/utils/secure_auth_enhanced.py', wd=9, mask=IN_CLOSE_NOWRITE, cookie=0, name='secure_auth_enhanced.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=8, mask=IN_OPEN, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=1, mask=IN_OPEN, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='license_integration.py'>
WARNING:root:License imports failed: No module named 'config'
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=1, mask=IN_OPEN, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=5, mask=IN_OPEN, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=5, mask=IN_CLOSE_NOWRITE, cookie=0, name='pricing_display.py'>
WARNING:root:Pricing imports failed: No module named 'config'
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=1, mask=IN_OPEN, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=8, mask=IN_OPEN, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='download_reports.py'>
INFO:__main__:Performance optimizations initialized successfully
INIT - Successfully initialized translations for: nl
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=1, mask=IN_OPEN, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/nl.json', wd=3, mask=IN_OPEN, cookie=0, name='nl.json'>
DEBUG:__main__:Enterprise integration not available (development mode)
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/nl.json', wd=3, mask=IN_CLOSE_NOWRITE, cookie=0, name='nl.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/en.json', wd=3, mask=IN_OPEN, cookie=0, name='en.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/en.json', wd=3, mask=IN_CLOSE_NOWRITE, cookie=0, name='en.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=8, mask=IN_OPEN, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_OPEN, cookie=0, name='secure_users.json'>
WARNING:utils.secure_auth_enhanced:Authentication failed: user vishaal314 not found
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='secure_users.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_OPEN, cookie=0, name='secure_users.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='secure_users.json'>
2025-10-04 19:09:41,633 - scanner.code_profiler - INFO - Performance Monitor [main_app_initialization]: 0.061s, Memory: 0.0MB
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/logs/dataguardian_scanner.log', wd=2, mask=IN_MODIFY, cookie=0, name='dataguardian_scanner.log'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=1, mask=IN_OPEN, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=8, mask=IN_OPEN, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='license_integration.py'>
WARNING:root:License imports failed: No module named 'config'
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=5, mask=IN_OPEN, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=1, mask=IN_OPEN, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=5, mask=IN_CLOSE_NOWRITE, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='pricing_display.py'>
WARNING:root:Pricing imports failed: No module named 'config'
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=8, mask=IN_OPEN, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='download_reports.py'>
INFO:__main__:Performance optimizations initialized successfully
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=1, mask=IN_OPEN, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/nl.json', wd=3, mask=IN_OPEN, cookie=0, name='nl.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/nl.json', wd=3, mask=IN_CLOSE_NOWRITE, cookie=0, name='nl.json'>
INIT - Successfully initialized translations for: nl
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/en.json', wd=3, mask=IN_OPEN, cookie=0, name='en.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=1, mask=IN_OPEN, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/en.json', wd=3, mask=IN_CLOSE_NOWRITE, cookie=0, name='en.json'>
DEBUG:__main__:Enterprise integration not available (development mode)
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=8, mask=IN_OPEN, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/subscription_manager.py', wd=1, mask=IN_OPEN, cookie=0, name='subscription_manager.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/subscription_manager.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='subscription_manager.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/subscription_manager.py', wd=8, mask=IN_OPEN, cookie=0, name='subscription_manager.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/subscription_manager.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='subscription_manager.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/stripe_payment.py', wd=1, mask=IN_OPEN, cookie=0, name='stripe_payment.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/stripe_payment.py', wd=8, mask=IN_OPEN, cookie=0, name='stripe_payment.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/stripe_payment.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='stripe_payment.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/stripe_payment.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='stripe_payment.py'>
2025-10-04 19:09:49,465 - scanner.code_profiler - INFO - Performance Monitor [main_app_initialization]: 1.774s, Memory: 24.2MB
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/logs/dataguardian_scanner.log', wd=2, mask=IN_MODIFY, cookie=0, name='dataguardian_scanner.log'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/stripe_payment.py', wd=8, mask=IN_OPEN, cookie=0, name='stripe_payment.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/stripe_payment.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='stripe_payment.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/subscription_manager.py', wd=8, mask=IN_OPEN, cookie=0, name='subscription_manager.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/subscription_manager.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='subscription_manager.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/stripe_payment.py', wd=1, mask=IN_OPEN, cookie=0, name='stripe_payment.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/stripe_payment.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='stripe_payment.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/subscription_manager.py', wd=1, mask=IN_OPEN, cookie=0, name='subscription_manager.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/subscription_manager.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='subscription_manager.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=1, mask=IN_OPEN, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=8, mask=IN_OPEN, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='license_integration.py'>
WARNING:root:License imports failed: No module named 'config'
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=5, mask=IN_OPEN, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=1, mask=IN_OPEN, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=5, mask=IN_CLOSE_NOWRITE, cookie=0, name='pricing_display.py'>
WARNING:root:Pricing imports failed: No module named 'config'
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=1, mask=IN_OPEN, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=8, mask=IN_OPEN, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='download_reports.py'>
INFO:__main__:Performance optimizations initialized successfully
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/nl.json', wd=3, mask=IN_OPEN, cookie=0, name='nl.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/nl.json', wd=3, mask=IN_CLOSE_NOWRITE, cookie=0, name='nl.json'>
INIT - Successfully initialized translations for: nl
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/en.json', wd=3, mask=IN_OPEN, cookie=0, name='en.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/en.json', wd=3, mask=IN_CLOSE_NOWRITE, cookie=0, name='en.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=1, mask=IN_OPEN, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=8, mask=IN_OPEN, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:__main__:Enterprise integration not available (development mode)
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_OPEN, cookie=0, name='secure_users.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='secure_users.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_OPEN, cookie=0, name='secure_users.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='secure_users.json'>
WARNING:utils.secure_auth_enhanced:Authentication failed: user vishaal314 not found
2025-10-04 19:10:11,455 - scanner.code_profiler - INFO - Performance Monitor [main_app_initialization]: 0.106s, Memory: 0.0MB
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/logs/dataguardian_scanner.log', wd=2, mask=IN_MODIFY, cookie=0, name='dataguardian_scanner.log'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=1, mask=IN_OPEN, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=8, mask=IN_OPEN, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='license_integration.py'>
WARNING:root:License imports failed: No module named 'config'
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=1, mask=IN_OPEN, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=5, mask=IN_OPEN, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=5, mask=IN_CLOSE_NOWRITE, cookie=0, name='pricing_display.py'>
WARNING:root:Pricing imports failed: No module named 'config'
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=1, mask=IN_OPEN, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=8, mask=IN_OPEN, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='download_reports.py'>
INFO:__main__:Performance optimizations initialized successfully
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/nl.json', wd=3, mask=IN_OPEN, cookie=0, name='nl.json'>
INIT - Successfully initialized translations for: nl
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=1, mask=IN_OPEN, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/nl.json', wd=3, mask=IN_CLOSE_NOWRITE, cookie=0, name='nl.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/en.json', wd=3, mask=IN_OPEN, cookie=0, name='en.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/en.json', wd=3, mask=IN_CLOSE_NOWRITE, cookie=0, name='en.json'>
DEBUG:__main__:Enterprise integration not available (development mode)
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=8, mask=IN_OPEN, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='enterprise_orchestrator.py'>
WARNING:utils.secure_auth_enhanced:Authentication failed: user vishaal314 not found
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_OPEN, cookie=0, name='secure_users.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='secure_users.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_OPEN, cookie=0, name='secure_users.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='secure_users.json'>
2025-10-04 19:10:15,575 - scanner.code_profiler - INFO - Performance Monitor [main_app_initialization]: 0.098s, Memory: 0.0MB
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/logs/dataguardian_scanner.log', wd=2, mask=IN_MODIFY, cookie=0, name='dataguardian_scanner.log'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=8, mask=IN_OPEN, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=1, mask=IN_OPEN, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='license_integration.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/license_integration.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='license_integration.py'>
WARNING:root:License imports failed: No module named 'config'
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=1, mask=IN_OPEN, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=5, mask=IN_OPEN, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=5, mask=IN_CLOSE_NOWRITE, cookie=0, name='pricing_display.py'>
WARNING:root:Pricing imports failed: No module named 'config'
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/components/pricing_display.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='pricing_display.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=1, mask=IN_OPEN, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=8, mask=IN_OPEN, cookie=0, name='download_reports.py'>
INFO:__main__:Performance optimizations initialized successfully
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='download_reports.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/download_reports.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='download_reports.py'>
INIT - Successfully initialized translations for: nl
DEBUG:__main__:Enterprise integration not available (development mode)
WARNING:utils.secure_auth_enhanced:Authentication failed: user vishaal314 not found
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=1, mask=IN_OPEN, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/nl.json', wd=3, mask=IN_OPEN, cookie=0, name='nl.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/nl.json', wd=3, mask=IN_CLOSE_NOWRITE, cookie=0, name='nl.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/en.json', wd=3, mask=IN_OPEN, cookie=0, name='en.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/translations/en.json', wd=3, mask=IN_CLOSE_NOWRITE, cookie=0, name='en.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=8, mask=IN_OPEN, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/services/enterprise_orchestrator.py', wd=8, mask=IN_CLOSE_NOWRITE, cookie=0, name='enterprise_orchestrator.py'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_OPEN, cookie=0, name='secure_users.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='secure_users.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_OPEN, cookie=0, name='secure_users.json'>
DEBUG:watchdog.observers.inotify_buffer:in-event <InotifyEvent: src_path=b'/app/secure_users.json', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='secure_users.json'>
2025-10-04 19:10:16,905 - scanner.code_profiler - INFO - Performance Monitor [main_app_initialization]: 0.091s, Memory: 0.0MB
